DAY 13 - RATIO EDGE CASES
============================================================
ASIANPAINT Mar 2022 ROCE Difference = 10.55 (Source=41.75, Engine=31.20) | Category: Source data issue
ASIANPAINT Mar 2023 ROE Difference = 5.22 (Source=31.45, Engine=26.23) | Category: Source data issue
ASIANPAINT Mar 2023 ROCE Difference = 6.83 (Source=41.75, Engine=34.92) | Category: Source data issue
ASIANPAINT Mar 2024 ROCE Difference = 5.98 (Source=41.75, Engine=35.77) | Category: Source data issue
BAJAJ-AUTO Mar 2013 ROE Difference = 12.35 (Source=26.5, Engine=38.85) | Category: Source data issue
BAJAJ-AUTO Mar 2013 ROCE Difference = 11.19 (Source=33.5, Engine=44.69) | Category: Source data issue
BAJAJ-AUTO Mar 2014 ROE Difference = 6.74 (Source=26.5, Engine=33.24) | Category: Source data issue
BAJAJ-AUTO Mar 2014 ROCE Difference = 7.21 (Source=33.5, Engine=40.71) | Category: Source data issue
BAJAJ-AUTO Mar 2017 ROCE Difference = 8.86 (Source=33.5, Engine=24.64) | Category: Source data issue
BAJAJ-AUTO Mar 2018 ROE Difference = 5.84 (Source=26.5, Engine=20.66) | Category: Source data issue
BAJAJ-AUTO Mar 2018 ROCE Difference = 9.91 (Source=33.5, Engine=23.59) | Category: Source data issue
BAJAJ-AUTO Mar 2019 ROE Difference = 5.29 (Source=26.5, Engine=21.21) | Category: Source data issue
BAJAJ-AUTO Mar 2019 ROCE Difference = 11.25 (Source=33.5, Engine=22.25) | Category: Source data issue
BAJAJ-AUTO Mar 2020 ROCE Difference = 10.05 (Source=33.5, Engine=23.45) | Category: Source data issue
BAJAJ-AUTO Mar 2021 ROE Difference = 8.69 (Source=26.5, Engine=17.81) | Category: Source data issue
BAJAJ-AUTO Mar 2021 ROCE Difference = 15.47 (Source=33.5, Engine=18.03) | Category: Source data issue
BAJAJ-AUTO Mar 2022 ROE Difference = 5.85 (Source=26.5, Engine=20.65) | Category: Source data issue
BAJAJ-AUTO Mar 2022 ROCE Difference = 15.96 (Source=33.5, Engine=17.54) | Category: Source data issue
BAJAJ-AUTO Mar 2023 ROE Difference = 5.86 (Source=26.5, Engine=20.64) | Category: Source data issue
BAJAJ-AUTO Mar 2023 ROCE Difference = 11.57 (Source=33.5, Engine=21.93) | Category: Source data issue
BAJAJ-AUTO Mar 2024 ROCE Difference = 5.11 (Source=33.5, Engine=28.39) | Category: Source data issue
AXISBANK Mar 2017 ROE Difference = 11.87 (Source=18.4, Engine=6.53) | Category: Sector-specific
AXISBANK Mar 2018 ROE Difference = 17.97 (Source=18.4, Engine=0.43) | Category: Sector-specific
AXISBANK Mar 2019 ROE Difference = 11.50 (Source=18.4, Engine=6.90) | Category: Sector-specific
